Date,Exchange,Company Name,Number of Shares,Price,Status,Symbol,Number of Shares
2005-08-05,Nasdaq National Market,"ADVANCED LIFE SCIENCES HOLDINGS, INC.",7000000.0,5.00,priced,ADLS,35000000.0
2005-08-05,Nasdaq National Market,HOKU CORP,3500000.0,6.00,priced,HOKU,21000000.0
2005-08-04,,"HARRY & DAVID HOLDINGS, INC.",,,withdrawn,,
2005-08-04,,STENTOR INC,,,withdrawn,,
2005-08-04,Nasdaq National Market,ESCHELON TELECOM INC,5357143.0,14.00,priced,ESCH,75000002.0
2005-08-04,Nasdaq National Market,ADVANCED ANALOGIC TECHNOLOGIES INC,10600000.0,10.00,priced,AATI,106000000.0
2005-08-04,Nasdaq National Market,"WORLDSPACE, INC",11868400.0,21.00,priced,WRSP,249236400.0
2005-08-03,,FRIDAY NIGHT ENTERTAINMENT CORP,,,withdrawn,,
2005-08-03,Nasdaq National Market,"REPUBLIC COMPANIES GROUP, INC.",6000000.0,14.00,priced,RUTX,84000000.0
2005-08-03,Nasdaq National Market,"MWI VETERINARY SUPPLY, INC.",4333334.0,17.00,priced,MWIV,73666678.0
2005-08-03,American Stock Exchange,PARENT CO,2000000.0,9.50,priced,BUN,19000000.0
2005-08-03,Nasdaq National Market,UNICA CORP,4800000.0,10.00,priced,UNCA,48000000.0
2005-09-30,Nasdaq National Market,"STATE NATIONAL BANCSHARES, INC.",1907692.0,26.00,priced,SNBI,49599992.0
2005-09-30,Nasdaq National Market,CIMPRESS PLC,10015930.0,12.00,priced,VPRT,120191160.0
2005-09-29,Nasdaq National Market,TALEO CORP,6700000.0,14.00,priced,TLEO,93800000.0
2005-09-29,Nasdaq National Market,GENOMIC HEALTH INC,5016722.0,12.00,priced,GHDX,60200664.0
2005-09-29,Nasdaq National Market,"CARIBOU COFFEE COMPANY, INC.",5358000.0,14.00,priced,CBOU,75012000.0
2005-09-29,Nasdaq National Market,AVALON PHARMACEUTICALS INC,2750000.0,10.50,priced,AVRX,28875000.0
2005-09-29,New York Stock Exchange,GLOBAL PARTNERS LP,4900000.0,22.00,priced,GLP,107800000.0
2005-09-29,Nasdaq National Market,WEBMD HEALTH CORP.,6900000.0,17.50,priced,WBMD,120750000.0
2005-09-27,Nasdaq National Market,TRX INC/GA,6800000.0,9.00,priced,TRXI,61200000.0
2005-09-27,New York Stock Exchange,"HORIZON LINES, INC.",12500000.0,10.00,priced,HRZ,125000000.0
2005-09-27,Nasdaq National Market,SUNESIS PHARMACEUTICALS INC,6000000.0,7.00,priced,SNSS,42000000.0
2005-09-23,New York Stock Exchange,EVERI HOLDINGS INC.,16064157.0,14.00,priced,GCA,224898198.0
2005-09-23,Nasdaq National Market,NORTH POINTE HOLDINGS CORP,4000000.0,12.00,priced,NPTE,48000000.0
2005-09-22,,"NATIONAL WATERWORKS HOLDINGS, INC.",,,withdrawn,,
2005-09-22,,"INTARCIA THERAPEUTICS, INC",,,withdrawn,,
2005-09-22,Nasdaq National Market,"IKANOS COMMUNICATIONS, INC.",6400000.0,12.00,priced,IKAN,76800000.0
2005-09-21,,IGN ENTERTAINMENT INC,,,withdrawn,,
2005-09-21,Nasdaq National Market,NEXITY FINANCIAL CORP,1700000.0,16.00,priced,NXTY,27200000.0
2005-09-20,OTCBB,U.S. HELICOPTER CORP,10590553.0,0.75,priced,USHP,7942915.0
2005-09-20,Nasdaq National Market,WILLIAMS SCOTSMAN INTERNATIONAL INC,15325837.0,16.00,priced,WLSC,245213392.0
2005-09-16,,PAETEC CORP.,,,withdrawn,,
2005-09-14,,OCEAN LIFE SCIENCES I INC,,,withdrawn,,
2005-09-09,OTCBB,EQUITY MEDIA HOLDINGS CORP,10000000.0,6.00,priced,CNUTU,60000000.0
2005-09-08,OTCBB,"NET ELEMENT, INC.",39617181.0,0.25,priced,SPLX,9904295.0
2005-09-06,,AMERICAN CAPITAL HOLDINGS INC,,,withdrawn,,
2005-09-01,,ITURAN LOCATION & CONTROL LTD.,,,filed,ITRN,62400000.0
2005-10-28,Nasdaq SmallCap Market,"STRATA SKIN SCIENCES, INC.",4000000.0,5.00,priced,MELA,20000000.0
2005-10-28,Nasdaq National Market,ACCENTIA BIOPHARMACEUTICALS INC,2400000.0,8.00,priced,ABPI,19200000.0
2005-10-27,Nasdaq National Market,SAJAN INC,4000000.0,6.00,priced,MATH,24000000.0
2005-10-27,New York Stock Exchange,"TH MERGER COMPANY, LLC",5800000.0,17.00,priced,CSA,98600000.0
2005-10-27,Nasdaq National Market,"HERCULES OFFSHORE, INC.",9200000.0,20.00,priced,HERO,184000000.0
2005-10-27,Nasdaq National Market,"NXSTAGE MEDICAL, INC.",5500000.0,10.00,priced,NXTM,55000000.0
2005-10-26,,PREDIX PHARMACEUTICALS HOLDINGS INC,,,withdrawn,,
2005-10-26,OTCBB,PLATINUM ENERGY RESOURCES INC,14400000.0,8.00,priced,PGRIU,115200000.0
