Date,Exchange,Company Name,Number of Shares,Price,Status,Symbol,Number of Shares
2013-01-25,Nasdaq National Market,LIPOSCIENCE INC,5000000.0,9.00,priced,LPDX,45000000.0
2013-01-25,,"COLD CAM, INC.",,,filed,,100000.0
2013-01-23,,EXTEND HEALTH INC,,,withdrawn,,
2013-01-22,,DR. PARK AVE.,,,withdrawn,,
2013-01-18,Nasdaq National Market,CYRUSONE INC.,16500000.0,19.00,priced,CONE,313500000.0
2013-01-18,New York Stock Exchange,"SUNCOKE ENERGY PARTNERS, L.P.",13500000.0,19.00,priced,SXCP,256500000.0
2013-01-18,Nasdaq National Market,NORWEGIAN CRUISE LINE HOLDINGS LTD.,23529412.0,19.00,priced,NCLH,447058828.0
2013-01-17,New York Stock Exchange,"CVR REFINING, LP",24000000.0,25.00,priced,CVRR,600000000.0
2013-01-17,,"TWENTYFOUR/SEVEN VENTURES, INC.",,,filed,,28500.0
2013-01-17,,LOLLIPOP CORP,,,filed,,100000.0
2013-01-17,,AXIOM CORP.,,,filed,,39650.0
2013-01-17,,"STARSTREAM ENTERTAINMENT, INC.",,,filed,,80000.0
2013-01-16,,"INTEGRITY APPLICATIONS, INC.",,,withdrawn,,
2013-01-15,,"PLATINUM ENERGY SOLUTIONS, INC.",,,withdrawn,,
2013-01-15,New York Stock Exchange,"USA COMPRESSION PARTNERS, LP",11000000.0,18.00,priced,USAC,198000000.0
2013-01-11,,"BOXCEIPTS.COM, INC.",,,withdrawn,,
2013-01-10,,HALEX ENERGY CORP.,,,filed,,3000000.0
2013-01-08,,ARAX HOLDINGS CORP,,,filed,,100000.0
2013-01-07,,INTERACTIVE MULTI MEDIA AUCTION CORP,,,filed,,705000.0
2013-01-04,,"CERULEAN GROUP, INC.",,,filed,,100000.0
2013-01-03,,HBP ENERGY CORP.,,,filed,,120000.0
2013-01-02,OTCBB,"ARCH THERAPEUTICS, INC.",4000000.0,1.01,priced,AAHC,4040000.0
2013-03-01,,"PACK FUERTE, INC.",,,filed,,136000.0
2013-02-26,,"NDS GROUP HOLDINGS, LTD",,,withdrawn,,
2013-02-26,,"BE AT TV, INC.",,,filed,,69000.0
2013-02-21,,ORIENTAL DRAGON CORP,,,withdrawn,,
2013-02-19,,ARTEC GLOBAL MEDIA INC,,,filed,,100000.0
2013-02-15,Nasdaq National Market,XOOM CORP,6325000.0,16.00,priced,XOOM,101200000.0
2013-02-15,,BIGFOOT PROJECT INVESTMENTS INC,,,filed,,3000000.0
2013-02-14,,SKM MEDIA CORP.,,,withdrawn,,
2013-02-14,American Stock Exchange,"ORCHID ISLAND CAPITAL, INC.",2360000.0,15.00,priced,ORC,35400000.0
2013-02-14,,"JISHANYE, INC.",,,filed,,13000.0
2013-02-13,New York Stock Exchange,INVESCO CURRENCYSHARES SINGAPORE DOLLAR TRUST,15150000.0,80.91,priced,FXSG,1225786500.0
2013-02-13,,OLIVIA INC.,,,filed,,80000.0
2013-02-12,,ARMADA WATER ASSETS INC,,,withdrawn,,
2013-02-12,Nasdaq National Market,"CONNECTONE BANCORP, INC.",1600000.0,28.00,priced,CNOB,44800000.0
2013-02-12,Nasdaq SmallCap Market,"ATLAS FINANCIAL HOLDINGS, INC.",4125000.0,5.85,priced,AFH,24131250.0
2013-02-12,,"AVRA SURGICAL ROBOTICS, INC.",,,filed,,15000000.0
2013-02-11,,ADCHINA LTD.,,,withdrawn,,
2013-02-11,,"ADMA BIOLOGICS, INC.",,,filed,,31658814.0
2013-02-08,New York Stock Exchange,READY CAPITAL CORP,5650000.0,21.25,priced,ZFC,120062500.0
2013-02-08,Nasdaq National Market,"BENEFYTT TECHNOLOGIES, INC.",4666667.0,14.00,priced,HIIQ,65333338.0
2013-02-08,New York Stock Exchange,NEW SOURCE ENERGY PARTNERS L.P.,4000000.0,20.00,priced,NSLP,80000000.0
2013-02-08,,DRIMEX INC.,,,filed,,100000.0
2013-02-07,,"ADVANTAGE DISPOSAL SOLUTIONS, INC.",,,withdrawn,,
2013-02-07,Nasdaq National Market,EXONE CO,5300000.0,18.00,priced,XONE,95400000.0
2013-02-06,New York Stock Exchange,BOISE CASCADE CO,11764706.0,21.00,priced,BCC,247058826.0
2013-02-06,,"NEF ENTERPRISES, INC.",,,filed,,80750.0
2013-02-06,,"LODGING MEDIA, INC.",,,filed,,200000.0
2013-02-05,,"GLOBAL TECH SOLUTIONS, INC.",,,filed,,60000.0
2013-02-05,,"SELECT-TV SOLUTIONS, INC.",,,filed,,56536.0
2013-02-04,,SNAP ONLINE MARKETING INC.,,,filed,,400000.0
2013-02-01,New York Stock Exchange,ZOETIS INC.,86100000.0,26.00,priced,ZTS,2238600000.0
2013-04-01,,ANNONA ENERGY INC.,,,filed,,60000.0
2013-03-29,,QGOG CONSTELLATION S.A.,,,withdrawn,,
2013-03-29,,TOYS R US INC,,,withdrawn,,
2013-03-29,,"SCRIPTION WORK SOLUTIONS, INC.",,,filed,,200000.0
2013-03-28,,MACDERMID GROUP INC.,,,withdrawn,,
2013-03-28,New York Stock Exchange,PINNACLE FOODS INC.,29000000.0,20.00,priced,PF,580000000.0
2013-03-28,,KORE RESOURCES INC.,,,filed,,100000.0
2013-03-28,,BAY BRIDGE FOOD & PRODUCE CO,,,filed,,50000.0
2013-03-27,Nasdaq SmallCap Market,"NV5 GLOBAL, INC.",1400000.0,6.00,priced,NVEEU,8400000.0
2013-03-27,,MOTIVATING THE MASSES INC,,,filed,,3000000.0
2013-03-26,,TICKET CORP.,,,filed,,49500.0
2013-03-22,,MASCOMA CORP,,,withdrawn,,
2013-03-22,New York Stock Exchange,MARIN SOFTWARE INC,7500000.0,14.00,priced,MRIN,105000000.0
2013-03-22,Nasdaq SmallCap Market,"ZAIS GROUP HOLDINGS, INC.",15300000.0,10.00,priced,HTWO,153000000.0
2013-03-22,New York Stock Exchange,"HUNT COMPANIES FINANCE TRUST, INC.",4033333.0,15.00,priced,OAKS,60499995.0
2013-03-22,Nasdaq National Market,WEST CORP,21275000.0,20.00,priced,WSTC,425500000.0
2013-03-22,,"RESORT SAVERS, INC.",,,filed,,75000.0
2013-03-21,New York Stock Exchange,"AVIV REIT, INC.",13200000.0,20.00,priced,AVIV,264000000.0
2013-03-21,Nasdaq National Market,ENANTA PHARMACEUTICALS INC,4000000.0,14.00,priced,ENTA,56000000.0
2013-03-20,Nasdaq National Market,TETRAPHASE PHARMACEUTICALS INC,10714286.0,7.00,priced,TTPH,75000002.0
2013-03-20,New York Stock Exchange,"MODEL N, INC.",6740000.0,15.50,priced,MODN,104470000.0
2013-03-15,,NANOFLEX POWER CORP,,,filed,,33000.0
2013-03-14,,"SBH ASSOCIATES, INC.",,,filed,,20000.0
2013-03-14,,"CLUTTERBUG MOVE MANAGEMENT, INC.",,,filed,,15000.0
2013-03-13,New York Stock Exchange,"ITRON NETWORKED SOLUTIONS, INC.",4750000.0,17.00,priced,SSNI,80750000.0
2013-03-07,New York Stock Exchange,ARTISAN PARTNERS ASSET MANAGEMENT INC.,11054156.0,30.00,priced,APAM,331624680.0
2013-03-06,,"FUEL TECHNOLOGY PRODUCTS, INC.",,,withdrawn,,
2013-03-05,Nasdaq SmallCap Market,"PROFESSIONAL DIVERSITY NETWORK, INC.",2625000.0,8.00,priced,IPDN,21000000.0
2013-03-05,,"TICKET TO SEE, INC.",,,filed,,20000.0
2013-03-01,,"PACK FUERTE, INC.",,,filed,,136000.0
2013-05-01,New York Stock Exchange,ELLINGTON RESIDENTIAL MORTGAGE REIT,6450000.0,20.00,priced,EARN,129000000.0
2013-05-01,Nasdaq National Market,GW PHARMACEUTICALS PLC,3500000.0,8.90,priced,GWPH,31150000.0
2013-04-30,,JOBLOCATIONMAP INC,,,filed,,60000.0
2013-04-29,,"LANGUAGE LINE SERVICES HOLDINGS, INC.",,,withdrawn,,
2013-04-26,,"RILEY EXPLORATION GROUP, INC.",,,withdrawn,,
2013-04-26,,MJP INTERNATIONAL LTD.,,,filed,,205425.0
2013-04-26,,"NET ELEMENT INTERNATIONAL, INC.",,,filed,,0.0
2013-04-25,,BENBOW HOLDING INC.,,,withdrawn,,
2013-04-25,,BLUE FASHION CORP.,,,filed,,90000.0
2013-04-22,,FIRST XERIS CORP.,,,filed,,39000.0
2013-04-19,Nasdaq National Market,"BLACKHAWK NETWORK HOLDINGS, INC",10000000.0,23.00,priced,HAWK,230000000.0
2013-04-19,New York Stock Exchange,"SEAWORLD ENTERTAINMENT, INC.",26000000.0,27.00,priced,SEAS,702000000.0
2013-04-19,,"EBULLION, INC.",,,filed,,250000.0
2013-04-18,,"JMGT STUDIOS SATELLITE TELEVISION NETWORK, LLC.",,,withdrawn,,
2013-04-18,New York Stock Exchange,"HANNON ARMSTRONG SUSTAINABLE INFRASTRUCTURE CAPITAL, INC.",13333333.0,12.50,priced,HASI,166666663.0
2013-04-18,New York Stock Exchange,TAMINCO CORP,15789474.0,15.00,priced,TAM,236842110.0
2013-04-18,New York Stock Exchange,INTELSAT S.A.,19323672.0,18.00,priced,I,347826096.0
2013-04-17,,"SS/L HOLDINGS, INC.",,,withdrawn,,
2013-04-17,Nasdaq National Market,FAIRWAY GROUP HOLDINGS CORP,13650000.0,13.00,priced,FWM,177450000.0
2013-04-17,,KOPJAGGERS INC.,,,filed,,2550.0
2013-04-15,,GEMSHARES PHYSICAL DIAMOND TRUST,,,filed,,1000000.0
2013-04-15,,"MAIDEN LANE JEWELRY, LTD.",,,filed,,707750.0
2013-04-12,New York Stock Exchange,RALLY SOFTWARE DEVELOPMENT CORP,6000000.0,14.00,priced,RALY,84000000.0
2013-04-12,New York Stock Exchange,"EVERTEC, INC.",25263159.0,20.00,priced,EVTC,505263180.0
2013-04-12,OTCBB,"PRIVILEGED WORLD TRAVEL CLUB, INC.",466306.0,1.00,priced,PVCL,466306.0
2013-04-12,,LUCKYCOM INC,,,filed,,44000.0
2013-04-11,Nasdaq National Market,CHIMERIX INC,7320000.0,14.00,priced,CMRX,102480000.0
2013-04-11,Nasdaq National Market,"OMTHERA PHARMACEUTICALS, INC.",8000000.0,8.00,priced,OMTH,64000000.0
2013-04-11,,CME REALTY INC.,,,filed,,40000.0
2013-04-10,New York Stock Exchange,KNOT OFFSHORE PARTNERS LP,7450000.0,21.00,priced,KNOP,156450000.0
2013-04-10,New York Stock Exchange,TAYLOR MORRISON HOME CORP,28572000.0,22.00,priced,TMHC,628584000.0
2013-04-09,,"FORGIVEN BOTTLING GROUP, INC.",,,withdrawn,,
2013-04-08,,"GLOBAL SYSTEM DESIGNS, INC.",,,filed,,94500.0
2013-04-05,OTCBB,"CANCER GENETICS, INC",600000.0,10.00,priced,CGIX,6000000.0
2013-04-05,OTCBB,"FACEBANK GROUP, INC.",7243500.0,5.00,priced,BTOP,36217500.0
2013-04-03,Nasdaq National Market,"INDEPENDENT BANK GROUP, INC.",3200000.0,26.00,priced,IBTX,83200000.0
2013-04-02,,CEVA INVESTMENTS LTD,,,withdrawn,,
2013-04-02,,ALPHALA CORP.,,,filed,,70800.0
2013-04-01,,ANNONA ENERGY INC.,,,filed,,60000.0
2013-05-31,Nasdaq National Market,KAMADA LTD,5582636.0,9.25,priced,KMDA,51639383.0
2013-05-31,Nasdaq National Market,"EPIZYME, INC.",5142000.0,15.00,priced,EPZM,77130000.0
2013-05-31,OTCBB,"SALEEN AUTOMOTIVE, INC.",2000000.0,0.55,priced,SLNN,1100000.0
2013-05-31,,CELATOR PHARMACEUTICALS INC,,,filed,,52905738.26
2013-05-31,,"SOELLINGEN ADVISORY GROUP, INC.",,,filed,,43100.0
2013-05-30,,BAUSCH & LOMB HOLDINGS INC,,,withdrawn,,
2013-05-30,,KISMET INC,,,filed,,200000.0
2013-05-29,,INTELLISENSE SOLUTIONS INC.,,,filed,,65033.0
2013-05-28,,COSMO VENTURES INC,,,filed,,50000.0
2013-05-23,New York Stock Exchange,CHANNELADVISOR CORP,5750000.0,14.00,priced,ECOM,80500000.0
2013-05-23,New York Stock Exchange,"GLOBAL BRASS & COPPER HOLDINGS, INC.",7000000.0,11.00,priced,BRSS,77000000.0
2013-05-23,New York Stock Exchange,PLY GEM HOLDINGS INC,15789474.0,21.00,priced,PGEM,331578954.0
2013-05-23,,POWERMEDCHAIRS,,,filed,,20400.0
2013-05-23,,ENVOY GROUP CORP.,,,filed,,37500.0
2013-05-23,,"GALENFEHA, INC.",,,filed,,455000.0
2013-05-22,Nasdaq National Market,PORTOLA PHARMACEUTICALS INC,8422758.0,14.50,priced,PTLA,122129991.0
2013-05-22,Nasdaq SmallCap Market,ARCTURUS THERAPEUTICS LTD.,3125000.0,8.00,priced,ADHD,25000000.0
2013-05-22,,"OROPLATA RESOURCES, INC.",,,filed,,45000.0
2013-05-22,,MADISON VENTURES INC.,,,filed,,185000.0
2013-05-21,,ESCO CORP,,,withdrawn,,
2013-05-20,,GULFSTREAM CAPITAL CORP,,,filed,,40000.0
2013-05-17,,"FUSIONSTORM GLOBAL, INC.",,,withdrawn,,
2013-05-17,,ASPEN AEROGELS INC,,,withdrawn,,
2013-05-17,New York Stock Exchange,TABLEAU SOFTWARE INC,8200000.0,31.00,priced,DATA,254200000.0
2013-05-17,Nasdaq National Market,"MARKETO, INC.",6059509.0,13.00,priced,MKTO,78773617.0
2013-05-16,New York Stock Exchange,WILLIAM LYON HOMES,8700000.0,25.00,priced,WLH,217500000.0
2013-05-16,Nasdaq National Market,AMBIT BIOSCIENCES CORP,8125000.0,8.00,priced,AMBI,65000000.0
2013-05-16,Nasdaq National Market,"FRONTEO, INC.",1100000.0,8.38,priced,UBIC,9218000.0
2013-05-16,,"VETRO, INC.",,,filed,,80000.0
2013-05-15,,KBS INTERNATIONAL HOLDINGS INC.,,,withdrawn,,
2013-05-15,,ZLATO INC.,,,filed,,50000.0
2013-05-15,,"COMHEAR, INC.",,,filed,,3792825.0
2013-05-14,New York Stock Exchange,"TALLGRASS ENERGY PARTNERS, LP",13050000.0,21.50,priced,TEP,280575000.0
2013-05-13,,MACCO INTERNATIONAL CORP,,,filed,,63400.0
2013-05-13,,PORT OF CALL ONLINE INC.,,,filed,,64000.0
2013-05-13,,CONSTELLIUM SE,,,filed,CSTM,333333330.0
2013-05-10,Nasdaq National Market,FIRST NBC BANK HOLDING CO,4166667.0,24.00,priced,NBCB,100000008.0
2013-05-10,Nasdaq SmallCap Market,"LINDBLAD EXPEDITIONS HOLDINGS, INC.",18000000.0,10.00,priced,CLACU,180000000.0
2013-05-10,New York Stock Exchange,BIOAMBER INC.,8000000.0,10.00,priced,BIOAU,80000000.0
2013-05-09,Nasdaq National Market,"TRISTATE CAPITAL HOLDINGS, INC.",5700000.0,11.50,priced,TSC,65550000.0
2013-05-09,New York Stock Exchange,CYAN INC,8000000.0,11.00,priced,CYNI,88000000.0
2013-05-09,Nasdaq National Market,"RECEPTOS, INC.",5200000.0,14.00,priced,RCPT,72800000.0
2013-05-09,New York Stock Exchange,"AMERICAN RESIDENTIAL PROPERTIES, INC.",13700500.0,21.00,priced,ARPI,287710500.0
2013-05-09,New York Stock Exchange,EMERGE ENERGY SERVICES LP,7500000.0,17.00,priced,EMES,127500000.0
2013-05-09,New York Stock Exchange,"PNMAC HOLDINGS, INC.",11111111.0,18.00,priced,PFSI,199999998.0
2013-05-09,New York Stock Exchange,IQVIA HOLDINGS INC.,23684210.0,40.00,priced,Q,947368400.0
2013-05-08,New York Stock Exchange,"ARMADA HOFFLER PROPERTIES, INC.",16525000.0,11.50,priced,AHH,190037500.0
2013-05-07,,QUICKSILVER PRODUCTION PARTNERS LP,,,withdrawn,,
2013-05-07,OTCBB,CALIFORNIA GOLD CORP.,100000000.0,0.005,priced,CLGL,1000000.0
2013-05-07,,ALTIMO GROUP CORP,,,filed,,100000.0
2013-05-03,Nasdaq National Market,QIWI,12500000.0,17.00,priced,QIWI,212500000.0
2013-05-03,,ANYTRANSLATION CORP,,,filed,,80000.0
2013-05-02,,"BIOSTAGE, INC.",,,withdrawn,,
2013-05-02,Nasdaq National Market,"INSYS THERAPEUTICS, INC.",4000000.0,8.00,priced,INSY,32000000.0
2013-05-02,New York Stock Exchange,"VOYA FINANCIAL, INC.",65192307.0,19.50,priced,VOYA,1271249987.0
2013-05-02,,"COLONY AMERICAN HOMES, INC.",,,filed,CAHS,299000000.0
2013-05-01,New York Stock Exchange,ELLINGTON RESIDENTIAL MORTGAGE REIT,6450000.0,20.00,priced,EARN,129000000.0
2013-05-01,Nasdaq National Market,GW PHARMACEUTICALS PLC,3500000.0,8.90,priced,GWPH,31150000.0
2013-07-01,,MOBILE LADS CORP,,,filed,,90000.0
2013-07-01,,TYPE 1 MEDIA INC.,,,filed,,35000.0
2013-07-01,,"HEALTHTALK LIVE, INC.",,,filed,,108000.0
2013-07-01,,WINKLEVOSS BITCOIN TRUST,,,filed,COIN,20090000.0
2013-06-28,Nasdaq National Market,NOODLES & CO,5357143.0,18.00,priced,NDLS,96428574.0
2013-06-28,Nasdaq National Market,PROSENSA HOLDING N.V. IN LIQUIDATIE,6000000.0,13.00,priced,RNA,78000000.0
2013-06-28,,HOMEOWNERS OF AMERICA HOLDING CORP,,,filed,,7869591.0
2013-06-27,Nasdaq SmallCap Market,MERGEWORTHRX CORP.,6600000.0,8.00,priced,MWRX,52800000.0
2013-06-27,New York Stock Exchange,"TELARIA, INC.",7500000.0,10.00,priced,TRMR,75000000.0
2013-06-27,Nasdaq National Market,"HD SUPPLY HOLDINGS, INC.",53191489.0,18.00,priced,HDS,957446802.0
2013-06-27,Nasdaq National Market,SILVERCREST ASSET MANAGEMENT GROUP INC.,4790684.0,11.00,priced,SAMG,52697524.0
2013-06-27,Nasdaq National Market,"ARATANA THERAPEUTICS, INC.",5750000.0,6.00,priced,PETX,34500000.0
2013-06-27,Nasdaq National Market,CDW CORP,23250000.0,17.00,priced,CDW,395250000.0
2013-06-27,,EMERALD ISLE EXPLORATIONS LTD.,,,filed,,35000.0
2013-06-26,Nasdaq National Market,"ESPERION THERAPEUTICS, INC.",5000000.0,14.00,priced,ESPR,70000000.0
2013-06-26,Nasdaq National Market,NANOSTRING TECHNOLOGIES INC,5400000.0,10.00,priced,NSTG,54000000.0
2013-06-26,New York Stock Exchange,"LUXOFT HOLDING, INC",4092070.0,17.00,priced,LXFT,69565190.0
2013-06-24,,DINAMO CORP,,,filed,,80000.0
2013-06-21,Nasdaq National Market,GOGO INC.,11000000.0,17.00,priced,GOGO,187000000.0
2013-06-21,,PERK INTERNATIONAL INC.,,,filed,,30000.0
2013-06-20,Nasdaq National Market,"PTC THERAPEUTICS, INC.",8372000.0,15.00,priced,PTCT,125580000.0
2013-06-20,Nasdaq SmallCap Market,"TRUETT-HURST, INC.",2700000.0,6.00,priced,THST,16200000.0
2013-06-20,,"SHOPEYE, INC.",,,filed,,36500.0
2013-06-20,,"Q THERAPEUTICS, INC.",,,filed,QCEL,5000000.0
2013-06-19,Nasdaq National Market,"BLUEBIRD BIO, INC.",5941176.0,17.00,priced,BLUE,100999992.0
2013-06-18,,POWER GALA CORP.,,,filed,,100300.0
2013-06-18,,UA GRANITE CORP,,,filed,,100000.0
2013-06-17,,"FOCUS VENTURE PARTNERS, INC",,,withdrawn,,
2013-06-14,,TRINSEO S.A.,,,withdrawn,,
2013-06-14,,"INTERNATIONAL AUTOMOTIVE COMPONENTS GROUP, S.A.",,,filed,IACG,115000000.0
2013-06-14,,OWLHEAD MINERALS CORP.,,,filed,,647500.0
2013-06-13,New York Stock Exchange,COTY INC.,57142857.0,17.50,priced,COTY,999999998.0
2013-06-13,,"GAMING ENTERTAINMENT INTERNATIONAL, INC.",,,filed,,15000000.0
2013-06-13,,"AMERI METRO, INC. (FORMERLY YELLOWWOOD)",,,filed,,5959815.0
2013-06-12,New York Stock Exchange,GIGAMON INC.,6750000.0,19.00,priced,GIMO,128250000.0
2013-06-12,,"BOXCEIPTS.COM, INC.",,,filed,,192000.0
2013-06-10,,MAZZAL HOLDING CORP.,,,filed,,622000.0
2013-06-07,,CONVERGEX INC.,,,withdrawn,,
2013-06-07,New York Stock Exchange,TEXTURA CORP,5000000.0,15.00,priced,TXTR,75000000.0
2013-06-07,,BROOKFIELD RENEWABLE ENERGY PARTNERS L.P.,,,filed,BEP,500000000.0
2013-06-06,New York Stock Exchange,"LIGHTINTHEBOX HOLDING CO., LTD.",8300000.0,9.50,priced,LITB,78850000.0
2013-06-05,,APPLIED MEDICAL CORP,,,withdrawn,,
2013-06-05,New York Stock Exchange,RCS CAPITAL CORP,2500000.0,20.00,priced,RCAP,50000000.0
2013-06-05,,"SOUNDSTORM DIGITAL, INC.",,,filed,,700000.0
2013-06-03,,LANGUAGE ARTS CORP.,,,filed,,50000.0
2013-08-01,,"ANDY BUSINESS CONGLOMERATE, USA",,,withdrawn,,
2013-08-01,New York Stock Exchange,AMERICAN HOMES 4 RENT,44117647.0,16.00,priced,AMH,705882352.0
2013-08-01,New York Stock Exchange,ARDMORE SHIPPING CORP,10000000.0,14.00,priced,ASC,140000000.0
2013-08-01,Nasdaq National Market,"SPROUTS FARMERS MARKET, INC.",18500000.0,18.00,priced,SFM,333000000.0
2013-07-31,,IROKO PHARMACEUTICALS INC.,,,withdrawn,,
2013-07-31,,"ESIR1,INC.",,,filed,,750000.0
2013-07-31,,MASCOTA RESOURCES CORP.,,,filed,,14250.0
2013-07-30,,"CATACA RESOURCES, INC.",,,filed,,30000.0
2013-07-29,,"CHANGING TECHNOLOGIES, INC.",,,filed,,30000.0
2013-07-29,,ALTAIR INTERNATIONAL CORP.,,,filed,,60000.0
2013-07-29,,"STELLA BLU, INC",,,filed,,450000.0
2013-07-26,,"EMI HOLDING, INC.",,,withdrawn,,
2013-07-26,Nasdaq National Market,"AZURE MIDSTREAM PARTNERS, LP",6875000.0,20.00,priced,FISH,137500000.0
2013-07-26,Nasdaq National Market,"LIQUID HOLDINGS GROUP, INC.",3175000.0,9.00,priced,LIQD,28575000.0
2013-07-25,,"ARMSTRONG ENERGY, INC.",,,withdrawn,,
2013-07-25,Nasdaq National Market,"CELLULAR DYNAMICS INTERNATIONAL, INC.",3846000.0,12.00,priced,ICEL,46152000.0
2013-07-25,Nasdaq National Market,CONATUS PHARMACEUTICALS INC.,6000000.0,11.00,priced,CNAT,66000000.0
2013-07-25,Nasdaq National Market,"ONCONOVA THERAPEUTICS, INC.",5166667.0,15.00,priced,ONTX,77500005.0
2013-07-25,Nasdaq SmallCap Market,SILVER EAGLE ACQUISITION CORP.,30000000.0,10.00,priced,EAGLU,300000000.0
2013-07-25,New York Stock Exchange,"WCI COMMUNITIES, INC.",6819091.0,15.00,priced,WCIC,102286365.0
2013-07-24,,PARATEK PHARMACEUTICALS INC,,,withdrawn,,
2013-07-24,New York Stock Exchange,GRANA & MONTERO S.A.A.,19534884.0,21.13,priced,GRAM,412772099.0
2013-07-24,Nasdaq National Market,"AGIOS PHARMACEUTICALS, INC.",5888888.0,18.00,priced,AGIO,105999984.0
2013-07-24,Nasdaq SmallCap Market,"HEAT BIOLOGICS, INC.",2500000.0,10.00,priced,HTBX,25000000.0
2013-07-24,New York Stock Exchange,"JONES ENERGY, INC.",12500000.0,15.00,priced,JONE,187500000.0
2013-07-23,New York Stock Exchange,PHILLIPS 66 PARTNERS LP,16425000.0,23.00,priced,PSXP,377775000.0
2013-07-22,,RD&G HOLDINGS CORP,,,filed,,1000000.0
2013-07-22,,FREEDOM LEAF INC.,,,filed,,137475.0
2013-07-22,,"BIOSIG TECHNOLOGIES, INC.",,,filed,,13411.5
2013-07-19,New York Stock Exchange,"DIAMOND RESORTS INTERNATIONAL, INC.",15500000.0,14.00,priced,DRII,217000000.0
2013-07-19,Nasdaq National Market,"RETAILMENOT, INC.",9090908.0,21.00,priced,SALE,190909068.0
2013-07-19,New York Stock Exchange,"REXFORD INDUSTRIAL REALTY, INC.",16000000.0,14.00,priced,REXR,224000000.0
2013-07-19,New York Stock Exchange,PHYSICIANS REALTY TRUST,10434782.0,11.50,priced,DOC,119999993.0
2013-07-19,Nasdaq SmallCap Market,"VISLINK TECHNOLOGIES, INC.",1337792.0,5.50,priced,XGTI,7357856.0
2013-07-18,New York Stock Exchange,"UCP, INC.",7750000.0,15.00,priced,UCP,116250000.0
2013-07-18,Nasdaq National Market,ONCOMED PHARMACEUTICALS INC,4800000.0,17.00,priced,OMED,81600000.0
2013-07-17,,"UEG-GREEN ENERGY SOLUTIONS/ALBERTA, INC.",,,withdrawn,,
2013-07-17,New York Stock Exchange,"CLEARWAY ENERGY, INC.",19575000.0,22.00,priced,NYLD,430650000.0
2013-07-15,,"COSKATA, INC.",,,withdrawn,,
2013-07-15,,SUNITY ONLINE ENTERTAINMENT LTD,,,withdrawn,,
2013-07-12,,CLOUDARY CORP.,,,withdrawn,,
2013-07-12,,GREEN SUPPLEMENTS ONLINE INC,,,filed,,100000.0
2013-07-11,,SKODA VENTURES INC.,,,filed,,60000.0
2013-07-09,,"BLUTEK INNOVATIONS, CORP.",,,filed,,3000000.0
2013-07-02,,AMERICAN LASER HEALTHCARE CORP,,,filed,,3705500.0
2013-07-02,,OVATION RESEARCH INC.,,,filed,,80000.0
2013-07-01,,MOBILE LADS CORP,,,filed,,90000.0
2013-07-01,,TYPE 1 MEDIA INC.,,,filed,,35000.0
2013-07-01,,"HEALTHTALK LIVE, INC.",,,filed,,108000.0
2013-07-01,,WINKLEVOSS BITCOIN TRUST,,,filed,COIN,20090000.0
2013-08-30,,ARCO-IRIS GOLD CORP,,,filed,,30000.0
2013-08-30,,GEO JS TECH GROUP CORP.,,,filed,,5793000.0
2013-08-29,,"WNS STUDIOS, INC.",,,filed,,50000.0
2013-08-28,,"DIAMOND LANE, INC.",,,filed,,30000.0
2013-08-27,,DMC BEVERAGE CORP.,,,filed,,4000000.0
2013-08-27,,KEY LINK ASSETS CORP.,,,filed,,59000.0
2013-08-27,,"REAL HIP-HOP NETWORK, INC",,,filed,,40880250.0
2013-08-23,,ILOADAPP,,,filed,,50000.0
2013-08-23,,"HISPANICA INTERNATIONAL DELIGHTS OF AMERICA, INC.",,,filed,,500000.0
2013-08-22,Nasdaq SmallCap Market,"TOBIRA THERAPEUTICS, INC.",10750000.0,4.00,priced,RGDO,43000000.0
2013-08-22,,"BORDERLESS HOLDINGS, INC.",,,filed,,600000.0
2013-08-22,,"UNLIMITED SKY HOLDINGS, INC.",,,filed,,17792453.0
2013-08-21,,"LIST SOLUTIONS, INC.",,,filed,,600000.0
2013-08-21,,"TRANSFER ENTERPRISES, INC.",,,filed,,600000.0
2013-08-20,,"EDGARIZING SOLUTIONS, INC.",,,filed,,600000.0
2013-08-20,,"MILESTONE INTERNATIONAL, CORP.",,,filed,,80000.0
2013-08-20,,TOMICHI CREEK OUTFITTERS,,,filed,,30000.0
2013-08-16,,SPRINGLEAF REIT INC.,,,withdrawn,,
2013-08-16,Nasdaq National Market,SOPHIRIS BIO INC.,13000000.0,5.00,priced,SPHS,65000000.0
2013-08-16,,"MINERIA Y EXPLORACIONES OLYMPIA, INC.",,,filed,,50000.0
2013-08-16,,"VESTA INTERNATIONAL, CORP.",,,filed,,100000.0
2013-08-16,,UPPERSOLUTION.COM,,,filed,,50000.0
2013-08-16,,"EXEO ENTERTAINMENT, INC.",,,filed,,25750.0
2013-08-15,New York Stock Exchange,THIRD POINT REINSURANCE LTD.,22053286.0,12.50,priced,TPRE,275666075.0
2013-08-15,,"NANOANTIBIOTICS, INC.",,,filed,,1000000.0
2013-08-14,,SONORA RESOURCES CORP.,,,withdrawn,,
2013-08-14,New York Stock Exchange,"ENVISION HEALTHCARE HOLDINGS, INC.",42000000.0,23.00,priced,EVHC,966000000.0
2013-08-13,Nasdaq SmallCap Market,"TD HOLDINGS, INC.",1370000.0,6.50,priced,CCCR,8905000.0
